Area Name,County,Labor Force,Employment,Unemployment Number,Unemployment Rate
Alameda ,Alameda                                               ,"42,300","41,100","1,200",2.8%
Albany ,Alameda                                               ,"10,000","9,700",200,2.4%
Ashland ,Alameda                                               ,"11,500","11,000",600,4.9%
Berkeley ,Alameda                                               ,"64,000","62,100","1,900",3.0%
Castro Valley ,Alameda                                               ,"32,900","32,000",900,2.9%
Cherryland ,Alameda                                               ,"7,500","7,100",400,5.1%
Dublin ,Alameda                                               ,"31,700","30,800",900,2.7%
Emeryville ,Alameda                                               ,"7,700","7,500",200,2.6%
Fairview ,Alameda                                               ,"5,300","5,200",100,1.6%
Fremont ,Alameda                                               ,"120,900","117,500","3,300",2.7%
Hayward ,Alameda                                               ,"79,400","76,700","2,700",3.4%
Livermore ,Alameda                                               ,"49,100","47,800","1,300",2.6%
Newark ,Alameda                                               ,"25,200","24,500",700,2.9%
Oakland ,Alameda                                               ,"215,700","208,100","7,500",3.5%
Piedmont ,Alameda                                               ,"5,300","5,200",100,2.0%
Pleasanton ,Alameda                                               ,"42,100","40,900","1,200",2.8%
San Leandro ,Alameda                                               ,"47,600","46,000","1,600",3.3%
San Lorenzo ,Alameda                                               ,"12,800","12,400",400,3.2%
Sunol ,Alameda                                               ,500,500,0,2.6%
Union  ,Alameda                                               ,"37,900","36,700","1,200",3.2%
Alpine Village ,Alpine                                                ,90,90,0,0.0%
Bear Valley ,Alpine                                                ,40,40,0,0.0%
Kirkwood ,Alpine                                                ,50,50,0,0.0%
Markleeville ,Alpine                                                ,60,60,0,0.0%
Mesa Vista ,Alpine                                                ,90,70,20,17.2%
Amador  ,Amador                                                ,70,70,10,7.1%
Ione ,Amador                                                ,"1,730","1,640",90,5.3%
Jackson ,Amador                                                ,"2,200","2,130",70,3.0%
Plymouth ,Amador                                                ,590,570,10,2.4%
Sutter Creek ,Amador                                                ,"1,020","1,000",20,1.8%
Aliso Viejo ,Orange                                                ,"30,200","29,400",800,2.8%
Anaheim ,Orange                                                ,"170,600","165,300","5,300",3.1%
Brea ,Orange                                                ,"22,600","21,900",700,2.9%
Buena Park ,Orange                                                ,"40,400","39,000","1,400",3.4%
Costa Mesa ,Orange                                                ,"65,700","63,900","1,800",2.7%
Coto de Caza ,Orange                                                ,"7,400","7,200",200,2.4%
Cypress ,Orange                                                ,"25,000","24,200",800,3.3%
Dana Point ,Orange                                                ,"18,700","18,300",500,2.6%
Fountain Valley ,Orange                                                ,"28,400","27,500",900,3.1%
Fullerton ,Orange                                                ,"70,400","68,100","2,300",3.2%
Garden Grove ,Orange                                                ,"81,900","79,200","2,700",3.3%
Huntington Beach ,Orange                                                ,"108,900","105,700","3,200",3.0%
Irvine ,Orange                                                ,"144,500","140,300","4,200",2.9%
La Habra ,Orange                                                ,"30,900","30,000",900,3.0%
La Palma ,Orange                                                ,"7,900","7,700",200,2.5%
Laguna Beach ,Orange                                                ,"12,600","12,300",300,2.6%
Laguna Hills ,Orange                                                ,"17,100","16,600",400,2.5%
Laguna Niguel ,Orange                                                ,"35,500","34,400","1,100",3.0%
Laguna Woods ,Orange                                                ,"3,500","3,400",100,2.2%
Lake Forest ,Orange                                                ,"48,100","46,900","1,300",2.6%
Las Flores ,Orange                                                ,"2,900","2,900",100,2.1%
Los Alamitos ,Orange                                                ,"5,700","5,500",200,3.3%
Mission Viejo ,Orange                                                ,"49,900","48,400","1,500",3.1%
Newport Beach ,Orange                                                ,"45,200","44,000","1,200",2.7%
Orange ,Orange                                                ,"72,400","70,300","2,200",3.0%
