City,County,Population
Adelanto,San Bernardino,31765
Agoura Hills,Los Angeles,20330
Alameda,Alameda,73812
Albany,Alameda,18539
Alhambra,Los Angeles,83089
Aliso Viejo,Orange,47823
Alturas,Modoc,2827
Amador City,Amador,185
American Canyon,Napa,19454
Anaheim,Orange,336265
Anderson,Shasta,9932
Angels Camp,Calaveras,3836
Antioch,Contra Costa,102372
Apple Valley,San Bernardino,69135
Arcadia,Los Angeles,56364
Arcata,Humboldt,17231
Arroyo Grande,San Luis Obispo,17252
Artesia,Los Angeles,16522
Arvin,Kern,19304
Atascadero,San Luis Obispo,28310
Atherton,San Mateo,6914
Atwater,Merced,28168
Auburn,Placer,13330
Avalon,Los Angeles,3728
Avenal,Kings,15505
Azusa,Los Angeles,46361
Bakersfield,Kern,347483
Baldwin Park,Los Angeles,75390
Banning,Riverside,29603
Barstow,San Bernardino,22639
Beaumont,Riverside,36877
Bell,Los Angeles,35477
Bell Gardens,Los Angeles,42072
Bellflower,Los Angeles,76616
Belmont,San Mateo,25835
Belvedere,Marin,2068
Benicia,Solano,26997
Berkeley,Alameda,112580
Beverly Hills,Los Angeles,34109
Big Bear Lake,San Bernardino,5019
Biggs,Butte,1707
Bishop,Inyo,3879
Blue Lake,Humboldt,1253
Blythe,Riverside,20817
Bradbury,Los Angeles,1048
Brawley,Imperial,24953
Brea,Orange,39282
Brentwood,Contra Costa,51481
Brisbane,San Mateo,4282
Buellton,Santa Barbara,4828
Buena Park,Orange,80530
Burbank,Los Angeles,103340
Burlingame,San Mateo,28806
Calabasas,Los Angeles,23058
Calexico,Imperial,38572
California City,Kern,14120
Calimesa,Riverside,7879
Calipatria,Imperial,7705
Calistoga,Napa,5155
Camarillo,Ventura,65201
Campbell,Santa Clara,39349
Canyon Lake,Riverside,10561
Capitola,Santa Cruz,9918
Carlsbad,San Diego,105328
Carmel-by-the-Sea,Monterey,3722
Carpinteria,Santa Barbara,13040
Carson,Los Angeles,91714
Cathedral City,Riverside,51200
Ceres,Stanislaus,45417
Cerritos,Los Angeles,49041
Chico,Butte,86187
Chino,San Bernardino,77983
Chino Hills,San Bernardino,74799
Chowchilla,Madera,18720
Chula Vista,San Diego,243916
Citrus Heights,Sacramento,83301
Claremont,Los Angeles,34926
Clayton,Contra Costa,10897
Clearlake,Lake,15250
Cloverdale,Sonoma,8618
Clovis,Fresno,95631
Coachella,Riverside,40704
Coalinga,Fresno,13380
Colfax,Placer,1963
Colma,San Mateo,1792
Colton,San Bernardino,52154
Colusa,Colusa,5971
Commerce,Los Angeles,12823
Compton,Los Angeles,96455
Concord,Contra Costa,122067
Corcoran,Kings,24813
Corning,Tehama,7663
Corona,Riverside,152374
Coronado,San Diego,24697
Corte Madera,Marin,9253
Costa Mesa,Orange,109960
Cotati,Sonoma,7265
Covina,Los Angeles,47796
Crescent City,Del Norte,7643
Cudahy,Los Angeles,23805
Culver City,Los Angeles,38883
Cupertino,Santa Clara,58302
Cypress,Orange,47802
Daly City,San Mateo,101123
Dana Point,Orange,33351
Danville,Contra Costa,42039
Davis,Yolo,65622
Del Mar,San Diego,4161
Del Rey Oaks,Monterey,1624
Delano,Kern,53041
Desert Hot Springs,Riverside,25938
Diamond Bar,Los Angeles,55544
Dinuba,Tulare,21453
Dixon,Solano,18351
Dorris,Siskiyou,939
Dos Palos,Merced,4950
Downey,Los Angeles,111772
Duarte,Los Angeles,21321
Dublin,Alameda,46036
Dunsmuir,Siskiyou,1650
East Palo Alto,San Mateo,28155
Eastvale,Riverside,"53,670[10]"
El Cajon,San Diego,99478
El Centro,Imperial,42598
El Cerrito,Contra Costa,23549
El Monte,Los Angeles,113475
El Segundo,Los Angeles,16654
Elk Grove,Sacramento,153015
Emeryville,Alameda,10080
Encinitas,San Diego,59518
Escalon,San Joaquin,7132
Escondido,San Diego,143911
Etna,Siskiyou,737
Eureka,Humboldt,27191
Exeter,Tulare,10334
Fairfax,Marin,7441
Fairfield,Solano,105321
Farmersville,Tulare,10588
Ferndale,Humboldt,1371
Fillmore,Ventura,15002
Firebaugh,Fresno,7549
Folsom,Sacramento,72203
Fontana,San Bernardino,196069
Fort Bragg,Mendocino,7273
Fort Jones,Siskiyou,839
Fortuna,Humboldt,11926
Foster City,San Mateo,30567
Fountain Valley,Orange,55313
Fowler,Fresno,5570
Fremont,Alameda,214089
Fresno,Fresno,494665
Fullerton,Orange,135161
Galt,Sacramento,23647
Garden Grove,Orange,170883
Gardena,Los Angeles,58829
Gilroy,Santa Clara,48821
Glendale,Los Angeles,191719
Glendora,Los Angeles,50073
Goleta,Santa Barbara,29888
Gonzales,Monterey,8187
Grand Terrace,San Bernardino,12040
Grass Valley,Nevada,12860
Greenfield,Monterey,16330
Gridley,Butte,6584
Grover Beach,San Luis Obispo,13156
Guadalupe,Santa Barbara,7080
Gustine,Merced,5520
Half Moon Bay,San Mateo,11324
Hanford,Kings,53967
Hawaiian Gardens,Los Angeles,14254
Hawthorne,Los Angeles,84293
Hayward,Alameda,144186
Healdsburg,Sonoma,11254
Hemet,Riverside,78657
Hercules,Contra Costa,24060
Hermosa Beach,Los Angeles,19506
Hesperia,San Bernardino,90173
Hidden Hills,Los Angeles,1856
Highland,San Bernardino,53104
Hillsborough,San Mateo,10825
Hollister,San Benito,34928
Holtville,Imperial,5939
Hughson,Stanislaus,6640
Huntington Beach,Orange,189992
Huntington Park,Los Angeles,58114
Huron,Fresno,6754
Imperial,Imperial,14758
Imperial Beach,San Diego,26324
Indian Wells,Riverside,4958
Indio,Riverside,76036
Industry,Los Angeles,219
Inglewood,Los Angeles,109673
Ione,Amador,7918
Irvine,Orange,212375
Irwindale,Los Angeles,1422
Isleton,Sacramento,804
Jackson,Amador,4651
Jurupa Valley,Riverside,"95,004[11]"
Kerman,Fresno,13544
King City,Monterey,12874
Kingsburg,Fresno,11382
La Cañada Flintridge,Los Angeles,20246
La Habra,Orange,60239
La Habra Heights,Los Angeles,5325
La Mesa,San Diego,57065
La Mirada,Los Angeles,48527
La Palma,Orange,15568
La Puente,Los Angeles,39816
La Quinta,Riverside,37467
La Verne,Los Angeles,31063
Lafayette,Contra Costa,23893
Laguna Beach,Orange,22723
Laguna Hills,Orange,30344
Laguna Niguel,Orange,62979
Laguna Woods,Orange,16192
Lake Elsinore,Riverside,51821
Lake Forest,Orange,77264
Lakeport,Lake,4753
Lakewood,Los Angeles,80048
Lancaster,Los Angeles,156633
Larkspur,Marin,11926
Lathrop,San Joaquin,18023
Lawndale,Los Angeles,32769
Lemon Grove,San Diego,25320
Lemoore,Kings,24531
Lincoln,Placer,42819
Lindsay,Tulare,11768
Live Oak,Sutter,8392
Livermore,Alameda,80968
Livingston,Merced,13058
Lodi,San Joaquin,62134
Loma Linda,San Bernardino,23261
Lomita,Los Angeles,20256
Lompoc,Santa Barbara,42434
Long Beach,Los Angeles,462257
Loomis,Placer,6430
Los Alamitos,Orange,11449
Los Altos,Santa Clara,28976
Los Altos Hills,Santa Clara,7922
Los Angeles,Los Angeles,3792621
Los Banos,Merced,35972
Los Gatos,Santa Clara,29413
Loyalton,Sierra,769
Lynwood,Los Angeles,69772
Madera,Madera,61416
Malibu,Los Angeles,12645
Mammoth Lakes,Mono,8234
Manhattan Beach,Los Angeles,35135
Manteca,San Joaquin,67096
Maricopa,Kern,1154
Marina,Monterey,19718
Martinez,Contra Costa,35824
Marysville,Yuba,12072
Maywood,Los Angeles,27395
McFarland,Kern,12707
Mendota,Fresno,11014
Menifee,Riverside,77519
Menlo Park,San Mateo,32026
Merced,Merced,78958
Mill Valley,Marin,13903
Millbrae,San Mateo,21532
Milpitas,Santa Clara,66790
Mission Viejo,Orange,93305
Modesto,Stanislaus,201165
Monrovia,Los Angeles,36590
Montague,Siskiyou,1443
Montclair,San Bernardino,36664
Monte Sereno,Santa Clara,3341
Montebello,Los Angeles,62500
Monterey,Monterey,27810
Monterey Park,Los Angeles,60269
Moorpark,Ventura,34421
Moraga,Contra Costa,16016
Moreno Valley,Riverside,193365
Morgan Hill,Santa Clara,37882
Morro Bay,San Luis Obispo,10234
Mount Shasta,Siskiyou,3394
Mountain View,Santa Clara,74066
Murrieta,Riverside,103466
Napa,Napa,76915
National City,San Diego,58582
Needles,San Bernardino,4844
Nevada City,Nevada,3068
Newark,Alameda,42573
Newman,Stanislaus,10224
Newport Beach,Orange,85186
Norco,Riverside,27063
Norwalk,Los Angeles,105549
Novato,Marin,51904
Oakdale,Stanislaus,20675
Oakland,Alameda,390724
Oakley,Contra Costa,35432
Oceanside,San Diego,167086
Ojai,Ventura,7461
Ontario,San Bernardino,163924
Orange,Orange,134616
Orange Cove,Fresno,9078
Orinda,Contra Costa,17643
Orland,Glenn,7291
Oroville,Butte,15546
Oxnard,Ventura,197899
Pacific Grove,Monterey,15041
Pacifica,San Mateo,37234
Palm Desert,Riverside,48445
Palm Springs,Riverside,44552
Palmdale,Los Angeles,152750
Palo Alto,Santa Clara,64403
Palos Verdes Estates,Los Angeles,13438
Paradise,Butte,26218
Paramount,Los Angeles,54098
Parlier,Fresno,14494
Pasadena,Los Angeles,137122
Paso Robles,San Luis Obispo,29793
Patterson,Stanislaus,20413
Perris,Riverside,68386
Petaluma,Sonoma,57941
Pico Rivera,Los Angeles,62942
Piedmont,Alameda,10667
Pinole,Contra Costa,18390
Pismo Beach,San Luis Obispo,7655
Pittsburg,Contra Costa,63264
Placentia,Orange,50533
Placerville,El Dorado,10389
Pleasant Hill,Contra Costa,33152
Pleasanton,Alameda,70285
Plymouth,Amador,1005
Point Arena,Mendocino,449
Pomona,Los Angeles,149058
Port Hueneme,Ventura,21723
Porterville,Tulare,54165
Portola,Plumas,2104
Portola Valley,San Mateo,4353
Poway,San Diego,47811
Rancho Cordova,Sacramento,64776
Rancho Cucamonga,San Bernardino,165269
Rancho Mirage,Riverside,17218
Rancho Palos Verdes,Los Angeles,41643
Rancho Santa Margarita,Orange,47853
Red Bluff,Tehama,14076
Redding,Shasta,89861
Redlands,San Bernardino,68747
Redondo Beach,Los Angeles,66747
Redwood City,San Mateo,76815
Reedley,Fresno,24194
Rialto,San Bernardino,99171
Richmond,Contra Costa,103701
Ridgecrest,Kern,27616
Rio Dell,Humboldt,3368
Rio Vista,Solano,7360
Ripon,San Joaquin,14297
Riverbank,Stanislaus,22678
Riverside,Riverside,303871
Rocklin,Placer,56974
Rohnert Park,Sonoma,40971
Rolling Hills,Los Angeles,1860
Rolling Hills Estates,Los Angeles,8067
Rosemead,Los Angeles,53764
Roseville,Placer,118788
Ross,Marin,2415
Sacramento,Sacramento,466488
St. Helena,Napa,5814
Salinas,Monterey,150441
San Anselmo,Marin,12336
San Bernardino,San Bernardino,209924
San Bruno,San Mateo,41114
San Carlos,San Mateo,28406
San Clemente,Orange,63522
San Diego,San Diego,1301617
San Dimas,Los Angeles,33371
San Fernando,Los Angeles,23645
San Francisco,San Francisco,805235
San Gabriel,Los Angeles,39718
San Jacinto,Riverside,44199
San Joaquin,Fresno,4001
San Jose,Santa Clara,945942
San Juan Bautista,San Benito,1862
San Juan Capistrano,Orange,34593
San Leandro,Alameda,84950
San Luis Obispo,San Luis Obispo,45119
San Marcos,San Diego,83781
San Marino,Los Angeles,13147
San Mateo,San Mateo,97207
San Pablo,Contra Costa,29139
San Rafael,Marin,57713
San Ramon,Contra Costa,72148
Sand City,Monterey,334
Sanger,Fresno,24270
Santa Ana,Orange,324528
Santa Barbara,Santa Barbara,88410
Santa Clara,Santa Clara,116468
Santa Clarita,Los Angeles,176320
Santa Cruz,Santa Cruz,59946
Santa Fe Springs,Los Angeles,16223
Santa Maria,Santa Barbara,99553
Santa Monica,Los Angeles,89736
Santa Paula,Ventura,29321
Santa Rosa,Sonoma,167815
Santee,San Diego,53413
Saratoga,Santa Clara,29926
Sausalito,Marin,7061
Scotts Valley,Santa Cruz,11580
Seal Beach,Orange,24168
Seaside,Monterey,33025
Sebastopol,Sonoma,7379
Selma,Fresno,23219
Shafter,Kern,16988
Shasta Lake,Shasta,10164
Sierra Madre,Los Angeles,10917
Signal Hill,Los Angeles,11016
Simi Valley,Ventura,124237
Solana Beach,San Diego,12867
Soledad,Monterey,25738
Solvang,Santa Barbara,5245
Sonoma,Sonoma,10648
Sonora,Tuolumne,4903
South El Monte,Los Angeles,20116
South Gate,Los Angeles,94396
South Lake Tahoe,El Dorado,21403
South Pasadena,Los Angeles,25619
South San Francisco,San Mateo,63632
Stanton,Orange,38186
Stockton,San Joaquin,291707
Suisun City,Solano,28111
Sunnyvale,Santa Clara,140081
Susanville,Lassen,17947
Sutter Creek,Amador,2501
Taft,Kern,9327
Tehachapi,Kern,14414
Tehama,Tehama,418
Temecula,Riverside,100097
Temple City,Los Angeles,35558
Thousand Oaks,Ventura,126683
Tiburon,Marin,8962
Torrance,Los Angeles,145538
Tracy,San Joaquin,82922
Trinidad,Humboldt,367
Truckee,Nevada,16180
Tulare,Tulare,59278
Tulelake,Siskiyou,1010
Turlock,Stanislaus,68549
Tustin,Orange,75540
Twentynine Palms,San Bernardino,25048
Ukiah,Mendocino,16075
Union City,Alameda,69516
Upland,San Bernardino,73732
Vacaville,Solano,92428
Vallejo,Solano,115942
Ventura,Ventura,106433
Vernon,Los Angeles,112
Victorville,San Bernardino,115903
Villa Park,Orange,5812
Visalia,Tulare,124442
Vista,San Diego,93834
Walnut,Los Angeles,29172
Walnut Creek,Contra Costa,64173
Wasco,Kern,25545
Waterford,Stanislaus,8456
Watsonville,Santa Cruz,51199
Weed,Siskiyou,2967
West Covina,Los Angeles,106098
West Hollywood,Los Angeles,34399
West Sacramento,Yolo,48744
Westlake Village,Los Angeles,8270
Westminster,Orange,89701
Westmorland,Imperial,2225
Wheatland,Yuba,3456
Whittier,Los Angeles,85331
Wildomar,Riverside,32176
Williams,Colusa,5123
Willits,Mendocino,4888
Willows,Glenn,6166
Windsor,Sonoma,26801
Winters,Yolo,6624
Woodlake,Tulare,7279
Woodland,Yolo,55468
Woodside,San Mateo,5287
Yorba Linda,Orange,64234
Yountville,Napa,2933
Yreka,Siskiyou,7765
Yuba City,Sutter,64925
Yucaipa,San Bernardino,51367
Yucca Valley,San Bernardino,20700
